Review,Rating
"Tôi ở Monaco Seattle hồi tháng 7, khách sạn đẹp nhưng giá chỉ 100-150 đô la một đêm, trải nghiệm chỉ ở mức trung bình, không có gì đặc biệt khi trả hơn 300 đô la mà vẫn không hài lòng. Vợ tôi ở phòng suite đẹp nhất với giá 200 đô la một đêm mà cảm thấy như trả quá nhiều tiền. Lời khuyên tốt nhất là nên tìm khách sạn khác, về chất lượng thì chỉ ở mức trung bình, tương đương với Marriott hoặc Best Western.",2
"Khách sạn ở Seattle giá cả phải chăng, tôi ở 4 đêm cuối năm 2007. Trông có vẻ tương đương với Hilton, Marriott, Westin trong khu vực, nhưng tôi không thử ở Monaco, tuy nhiên rất hài lòng. Dịch vụ phòng tốt, đồ ăn nhanh và ngon, giường đặc biệt thoải mái, không giống như nhiều người không nói gì tích cực về dịch vụ. Nhược điểm là phòng tập thể dục hơi nhỏ, có máy chạy bộ. Tôi đã chạy bộ 5 ngày ở đây, chắc chắn sẽ quay lại.",4
"Khách sạn tốt, vị trí thuận lợi, khách sạn Kimpton thiết kế độc đáo, không gian vui vẻ, nhân viên trẻ trung, thân thiện và nhiệt tình, khách sạn đông khách nhưng được bố trí phòng thông nhau, tuy nhiên tuần đó không đông khách. Phòng có kích thước vừa phải, không quá lớn, khá bình thường so với các khách sạn khác trong thành phố, giường tốt, phòng tắm sạch sẽ, sáng sủa với cửa trượt tiện lợi, phòng tắm đông người, thiết kế phòng sáng sủa, vui vẻ với TV màn hình phẳng, vị trí hơi ồn ào ở tầng 5, thuận tiện đi bộ đến các điểm tham quan như thư viện trung tâm mới, bảo tàng nghệ thuật Sam, nhà hát hòa nhạc Benaroya, chợ Pike Place, phí đậu xe cao (29 bảng/đêm), tiệc rượu buổi tối được ưa chuộng.",4
"Khách sạn đẹp nhưng nhân viên không thân thiện. Khách sạn dễ thương nhưng nhân viên khá thô lỗ, nhân viên khuân vác hành lý và lễ tân làm mọi việc khó khăn, chờ đợi rất lâu để kiểm tra hành lý nặng mà không ai giúp mở cửa phòng hai cánh, nhân viên lễ tân tệ nhất kiểm tra thẻ xe, chờ lấy xe 20 phút, về nhà mới phát hiện bị giữ 1000 đô la trên thẻ tín dụng, mất 5 cuộc gọi điện thoại, 2 fax và 1 tuần mới giải quyết được. Ở lại khách sạn Warwick, phòng Lenora ổn... nhưng tất cả đều thân thiện, một ngày mệt mỏi ở sân bay.",3
"Khách sạn tuyệt vời cho một đêm nghỉ trong chuyến công tác ngắn ngày, rất thích những chi tiết nhỏ như áo choàng in hình cá vàng và da báo. Điểm trừ duy nhất là wifi miễn phí nhưng không có truy cập internet tại trung tâm dịch vụ doanh nhân. Vị trí tuyệt vời, thư viện và dịch vụ tuyệt vời.",4
"Trải nghiệm dịch vụ khách hàng tồi tệ tại khách sạn, ngày 3-4 tháng 2 năm 2007. Bạn tôi chọn khách sạn Monaco, trang web trực tuyến rất hấp dẫn, gói dịch vụ bao gồm rượu sâm panh, trả phòng muộn, 3 ngày miễn phí dịch vụ đỗ xe, quà tặng spa và kỳ nghỉ cuối tuần. Bạn tôi đã nhận phòng vài giờ trước đó nhưng đến muộn. Gọi nhân viên giữ xe, một chàng trai trẻ chỉ đứng đó. Bạn tôi yêu cầu nhân viên mở cửa, anh ta nói, kéo hành lý nhưng không ai giúp đỡ. Anh ta lấy túi quần áo, vali, chìa khóa xe và số phòng ghi là không có dịch vụ đỗ xe. Bạn tôi đỗ xe ngoài đường, để chìa khóa vẫn hoạt động, yêu cầu nhân viên giữ xe đỗ xe hộ. Vào phòng, mọi thứ ổn, rượu sâm panh, dầu dưỡng da, quà tặng spa. Thay đồ xong, lên giường và nhận thấy những giọt máu trên gối, ga trải giường và gối. Thật kinh tởm, không thể tin được. Gọi lễ tân, nhưng 20 phút sau cử người đến, họ đổi ga trải giường và xin lỗi. Sáng Chủ nhật, gọi lễ tân, nói chuyện với quản lý, giọng điệu khó chịu và thô lỗ. Rõ ràng là không có quản lý, giám sát viên nào tốt bụng. Chờ đến sáng thứ Hai, chàng trai trẻ nói, bảo che đậy thức ăn và nói thêm rằng có người thay ga trải giường, nói rằng có máu tươi và giọng điệu thô lỗ. Trả phòng lúc 3 giờ chiều, gói dịch vụ đã đặt. Đến 12 giờ 1:30, nhân viên dọn phòng cố gắng đi vào phòng, mở cửa xin lỗi rồi đóng cửa lại. Mọi người gọi điện nói rằng hãy kiểm tra lúc 12 giờ, nhắc nhở về gói dịch vụ. Cuối cùng, bạn tôi đã đóng gói đồ đạc, xuống tầng dưới để kiểm tra, nhanh chóng ký giấy tờ và lấy đi. Tôi nhìn kỹ hơn phòng, không may là đồ ăn được phục vụ nhưng vẫn tính phí đỗ xe. Tôi gọi điện hỏi lễ tân về phí, người phụ nữ trả lời cộc lốc nói rằng tôi biết vấn đề này đã xảy ra vào thứ Hai như đã nói trước đó, cuộc sống được đối xử như ở khách sạn, không chắc khách sạn này liên tục gặp vấn đề, những người may mắn mới ở lại đây, tôi khuyên mọi người nên thử.",1
"Thất vọng khi đặt phòng khách sạn ở Monaco dựa trên các đánh giá trên TripAdvisor, thực sự rất thất vọng. Nội thất phòng đẹp như tưởng tượng, nhân viên dọn phòng ấn tượng, cực kỳ lịch sự, vui vẻ và hữu ích. Nhân viên lễ tân phục vụ khách hàng ở mức tiêu chuẩn, nhưng có rất nhiều chi tiết nhỏ dễ bị bỏ qua như gương bị vỡ, gương treo lủng lẳng trong phòng tắm, tay nắm cửa lung lay, phòng không tạo cảm giác an toàn, tay nắm cửa gần như sắp rơi. Chồng tôi có chuyến bay sáng sớm giữa tuần, gọi taxi, được đề nghị giá taxi gấp đôi so với giá cố định của xe riêng, biết giá taxi là 30, xe riêng là 38, nhân viên lễ tân khăng khăng đòi 65. Tài xế taxi sau đó giải thích rằng nhân viên lễ tân đã từ chối giới thiệu khách. Khách sạn ưu tiên khách hàng thân thiết, nhân viên luôn quan tâm đến lợi ích của khách hàng. Dự định ăn tối tại nhà hàng khách sạn vào ngày đầu năm mới, đến nơi đã mặc đồ ăn tối nhưng lễ tân báo đóng cửa vì ngày lễ. Hỏi về nhà hàng gần đó, họ chỉ trả lời ""chúc may mắn tìm được nhà hàng gần đó"", ""chúc may mắn"", ""cảm ơn sự giúp đỡ"". Cần có trung tâm dịch vụ khách sạn hoạt động, dịch vụ tầng dưới hoàn toàn không hoạt động, dịch vụ internet thuê ngoài khiến tôi tốn 50 đô la mà không hoạt động, không được hoàn tiền. Mất 2,5 giờ trong thời gian nghỉ phép để khắc phục sự cố, gọi điện thoại miễn phí cho công ty internet, hỏi lễ tân về số lần được hỗ trợ nhưng không được. Trải nghiệm tồi tệ nhất là khi hỏi lễ tân về số lần được hỗ trợ, câu trả lời bao gồm... nhún vai nói ôi tệ quá, thái độ của đa số nhân viên đơn giản là không quan tâm, cần giúp đỡ nhưng lại dám xen vào, nhận được phản hồi khó chịu, thỉnh thoảng bắt gặp mấy cô lễ tân cười nhếch mép, tưởng không được, nói chuyện bực bội, thành thật mà nói không đợi kiểm tra, trang trí đẹp, thích cá vàng, nhân viên dọn phòng tuyệt vời, khách sạn cuối cùng muốn lao ra cửa nhưng không có cách nào, không quan tâm, chào hỏi, khá phớt lờ khu vực quầy lễ tân trừ khi được tiếp cận, đường Westin, không thấy gì mặt cười đến đi trong khách sạn.",2
"Kỳ nghỉ tuyệt vời tại khách sạn Monaco Seattle, khách sạn Monaco thuộc chuỗi khách sạn Kimpton đạt tiêu chuẩn cao. Tôi đã từng ở nhiều khách sạn Kimpton ở các thành phố khác nhau và dễ dàng khẳng định khách sạn Seattle Monaco là tốt nhất. Dịch vụ chu đáo, nhanh chóng, là thành viên chương trình khách hàng thân thiết của Kimpton, được nâng cấp lên phòng tầng 10 với tầm nhìn tuyệt vời ra đường số 4, thư viện công cộng tuyệt vời ngay đối diện khách sạn. Tôi rất khuyên bạn nên ghé thăm thư viện công cộng, phòng khá rộng rãi với tivi màn hình phẳng đẹp và đầu DVD/CD. Phòng tập thể dục khá tiêu chuẩn, kích thước đủ dùng nhưng không xuất sắc, có máy tập elip, xe đạp tập và màn hình xem cá nhân. Màn hình máy tập cardio chấp nhận DVD nhưng không thấy. Sảnh khách sạn Kimpton Monaco có phong cách độc đáo, ấm cúng và dễ chịu, dễ dàng tưởng tượng bạn sẽ thư giãn ở đó với những chiếc ghế bọc nệm êm ái. Nhà hàng Sazerac trong khách sạn rất ngon, đã ăn trưa và mong chờ bữa sáng ngày mai. Các khách sạn Kimpton cung cấp kết nối internet tốc độ cao miễn phí qua Ethernet, lướt web, kiểm tra email và văn phòng chỉ trong vài giây mà không gặp vấn đề gì. Không thể sai khi nói rằng khách sạn Kimpton Seattle Monaco chắc chắn là một lựa chọn tuyệt vời.",5
"Khách sạn tuyệt vời, chị gái tôi rất hài lòng, vị trí tuyệt vời, phòng đẹp, giường thoải mái - yên tĩnh - nhân viên nhiệt tình, gợi ý nhà hàng, chợ Pike cách đó 4 dãy nhà, rất đáng để ở.",5
"Hừm... thực sự kỳ vọng rất cao vào khách sạn Monaco, chọn Seattle làm điểm đến cho chuyến đi mua sắm của bạn gái, nhưng nhìn chung thì khách sạn này khá ổn so với các khách sạn khác. Có nhiều tiện nghi tốt, nhưng những chi tiết nhỏ làm giảm đi sự hài lòng: ga trải giường siêu mềm mại, chăn gối sang trọng, nhưng nệm thì cứng như đá, giường khách sạn tiêu chuẩn khiến tôi mất ngủ cả đêm. Nội thất có màu sắc và họa tiết đẹp, ghế thú vị, giấy dán tường bị rách, bong tróc. Phòng 8:15 ồn ào như còi báo sương mù, rung cả tường. Có lẽ do đường ống nước gây khó chịu. Sáng thức dậy, nhận được gói cà phê không caffeine thay vì cà phê thường, mất 30 phút mới nhận được, chỉ thấy gói cà phê, gói nhỏ xíu chỉ có 3 gói kem sữa khô nhỏ xíu. Dịch vụ cà phê ở sảnh đã được cung cấp, nhưng họ dọn dẹp rất sớm, lúc 10 giờ sáng. Tiệc rượu lúc 5-6 giờ, thời gian tốt hơn là đi bộ lúc 5:50, nhưng không thấy quản lý đâu, có vẻ như đang cố gắng gọi ly thứ hai. Đĩa thức ăn gồm bánh quy cá vàng, khá sang trọng. Tối thứ Sáu, nhà hàng kiêm quán bar đóng cửa lúc 4 giờ chiều, có tiệc riêng. Dự định ăn tối, nghe nói quán bar rất vui, nhưng lại thất vọng. Tất cả các áp phích quảng cáo của khách sạn đều nói về sự thoải mái, cảm thấy được phục vụ chu đáo, nhưng không có nhân viên nào hỏi han hay chào hỏi, chỉ nói xin chào.",3
"dịch vụ dịch vụ dịch vụ đã dành cả tuần bạn bè ngày lễ lao động bùng nổ, tuyến Gray, Airporter thả khách sạn góc 10 người taxi 28 tổng cộng đảm bảo giá cố định xe hơi thành phố 38. vị trí trung tâm thành phố đường W. Khách sạn này có lối đi bộ nhanh, điểm tham quan du lịch khá thuận tiện, tháp Space Needle hơi xa, ga tàu điện trên cao Westlake Center cũng gần, có thể đi bộ đến đó dễ dàng. Khách có thể tham quan tàu điện ngầm, chợ công cộng, tháp Space Needle, và để lại một ít hành lý, khu mua sắm tuyệt vời. Khu phố an toàn và sạch sẽ, phòng suite Địa Trung Hải khá rộng rãi, được trang bị bồn tắm jacuzzi cho hai người, vòi sen đứng nhỏ có vách kính. Phòng không có tầm nhìn nhưng tôi không quan tâm. Phòng sạch sẽ, có chăn mỏng trang trí, tường được trang trí sọc đẹp mắt. Tôi tin rằng bạn sẽ không cảm thấy khách sạn cũ kỹ, có thể mang theo cá vàng và chó ngoan. Dịch vụ tuyệt vời, lễ tân, nhân viên hướng dẫn, phục vụ phòng, sẵn sàng cung cấp dịch vụ chuyên nghiệp và chu đáo. Phòng tập thể dục mở cửa 24/7, máy tập cardio hiện đại, tạ tay, trọng lượng tối đa 25kg, khăn tắm, TV, và có thể đi bộ đến đó. Ẩm thực Sazerac đáng để thử, không ấn tượng lắm nhưng khá thú vị. Chuyến thăm Seattle Monaco này, tôi thích giường ở Westin hơn nhưng tôi thích Monaco hơn vì giá cả phải chăng. Bạn bè tôi muốn đến thăm và ở lại khách sạn Monaco trong năm.",5
"Kỳ nghỉ tuyệt vời, một bất ngờ thú vị ở Monaco, tôi thực sự rất thích kỳ nghỉ ở đây, phòng thoải mái, tiện nghi tuyệt vời, nhân viên thân thiện, đặc biệt là giờ thư giãn, chắc chắn sẽ quay lại.",5
"Khách sạn Monaco ở trung tâm thành phố Seattle có giá cả phải chăng, là lựa chọn tuyệt vời cho khu vực đắt đỏ trong thành phố. Phòng ở phố W có giá khoảng 400 đô la một đêm, khách sạn Monaco độc đáo, thú vị, ấm cúng, giường/ga trải giường chất lượng với sản phẩm Aveda, phòng tắm có điểm nhấn tuyệt vời. Gần trung tâm thành phố, chỉ cần đi taxi một đoạn ngắn là đến, có thể đến các nhà hàng và quán bar nổi tiếng. Tôi rất thích Lola, trải nghiệm độc đáo, sang trọng và thú vị. Chắc chắn tôi sẽ ở lại đây.",4
"Khách sạn Monaco có vị trí tuyệt vời và dịch vụ xuất sắc. Khách sạn Monaco nằm ở vị trí trung tâm và cung cấp dịch vụ tuyệt vời, tôi đã ở đây từ 23/4 đến 1/5. Ban đầu khi nhận phòng, tôi được thông báo rằng đã đặt phòng giường cỡ Queen qua Expedia và được thông báo là phòng có giường cỡ King. May mắn thay, một vị khách khác khi nhận phòng đã đổi phòng cho tôi. Trong lần đặt phòng qua Expedia, tôi khuyên bạn nên kiểm tra kỹ khách sạn để đảm bảo nhận được phòng đúng. Nhân viên cho biết nên đặt phòng trực tiếp với khách sạn để khớp giá trực tuyến. Ngoài ra, nhân viên lễ tân Marco rất hữu ích. Tối thứ Bảy, tôi gọi điện cho Salty để đặt bàn ăn trưa và được thông báo là không còn chỗ. Ngày hôm sau, nhân viên lễ tân gọi điện hỏi giờ mở cửa của nhà hàng và muốn dùng bữa, tôi đã đặt được bàn số 5 với tầm nhìn cửa sổ tuyệt vời. Khách sạn cách chợ Pike Place, bảo tàng nghệ thuật Seattle và khu mua sắm vài dãy nhà, có thể đi bộ đến Space Needle, tham quan các điểm du lịch của Music Project. Các tiện nghi và dịch vụ được cung cấp bao gồm: thú cưng là cá vàng, nếm rượu vang, sử dụng thảm yoga trong phòng. Tôi khuyên bạn nên tham gia tour trực thăng đến núi St. Helens và trung tâm du khách Hoffstadt ở Seattle.",5
"Vị trí tuyệt vời, cần nâng cấp nội thất, lợi thế khu phía bắc trung tâm Seattle, nhiều nhà hàng tuyệt vời gần đó, giá cả hợp lý. Phòng cần được nâng cấp, thực sự cảm giác như đang ngủ trên giường từ năm 1970, gối và ga trải giường cũ kỹ, kết quả là ngủ không ngon giấc. Tuy nhiên, vị trí thuận lợi, nhân viên thân thiện.",2
